nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude,pk_localizacao
AVENIDA GENERAL CARNEIRO,2,18043004,VILA LUCY,SOROCABA,SP,"-23,50295","-47,4684722",18868
RUA ROSA E SILVA,257,01230020,SANTA CECILIA,SAO PAULO,SP,"-23,5351276","-46,6580867",20265
RUA NOSSA SENHORA DE FATIMA,603,88310330,CORDEIROS,ITAJAI,SC,"-26,8920013","-48,6990133",18870
RUA GENERAL CAMARA,3489,14060570,IPIRANGA,RIBEIRAO PRETO,SP,"-21,131936","-47,8067915",18872
PRACA ANTONIO TELES,15,11013924,CENTRO,SANTOS,SP,"-23,9329831","-46,3243777",18874
AVENIDA JULIO DE CASTILHOS,479,98600000,CENTRO,TRES PASSOS,RS,"-27,4562903","-53,9295128",18876
ALAMEDA TOPAZIO,166,06540235,ALPHAVILLE,SANTANA DE PARNAIBA,SP,"-23,4543358","-46,878475",18878
RUA SAO JOSE,1135,13400330,CENTRO,PIRACICABA,SP,"-22,7259586","-47,6453101",18880
RUA 13 DE MAIO,713,95180000,CENTRO,FARROUPILHA,RS,"-29,2230856","-51,3585304",18882
AVENIDA DOUTOR ELOY CHAVES,164,79602002,CENTRO,TRES LAGOAS,MS,"-20,7918314","-51,7052611",18884
AVENIDA GETULIO VARGAS,2486,33400000,RECANTO DA LAGOA,LAGOA SANTA,MG,"-19,6435684","-43,9013276",18886
RUA DESEMB FILINTO BASTOS,112,44050024,CENTRO,FEIRA DE SANTANA,BA,"-12,2577589","-38,9689024",18887
AVENIDA ROMAO,SN,75820000,,SERRANOPOLIS,GO,"-18,3062644","-51,9546715",18888
AVENIDA EXPEDITO GARCIA,120,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433912","-40,3865346",18889
AVENIDA SANTO ANTONIO,92,55700000,CENTRO,LIMOEIRO,PE,"-7,8788882","-35,453665",18890
RUA TAMUANA,1593,69470000,MUTIRAO,TEFE,AM,"-3,3207288","-64,7235833",18892
AVENIDA WALTER FRANCO,251,49500000,CENTRO,ITABAIANA,SE,"-10,6840263","-37,4340093",18893
